,category_label,category_id,philadelphia_results,philadelphia_z_score
0,Arts and Entertainment,10000,62,-0.7307175296915637
1,Arts and Entertainment > Amusement Park,10001,6,0.3169801464474885
2,Arts and Entertainment > Aquarium,10002,0,-0.6426082256742901
3,Arts and Entertainment > Arcade,10003,5,0.6217692546179765
4,Arts and Entertainment > Art Gallery,10004,31,-0.6924952002673366
5,Arts and Entertainment > Bingo Center,10005,0,0.0
6,Arts and Entertainment > Bowling Alley,10006,3,-0.542279515264819
7,Arts and Entertainment > Carnival,10007,1,-0.11640071315032893
8,Arts and Entertainment > Casino,10008,2,-0.1502120872727302
9,Arts and Entertainment > Circus,10009,0,-0.4020363866979091
10,Arts and Entertainment > Comedy Club,10010,11,0.740400822318925
11,Arts and Entertainment > Country Club,10011,0,-0.40802608190806927
12,Arts and Entertainment > Country Dance Club,10012,0,0.0
13,Arts and Entertainment > Dance Hall,10013,0,0.0
14,Arts and Entertainment > Disc Golf Course,10014,0,0.0
15,Arts and Entertainment > Escape Room,10015,3,-0.30964290184123694
16,Arts and Entertainment > Exhibit,10016,3,0.26249586854178153
17,Arts and Entertainment > Fair,10017,0,0.0
18,Arts and Entertainment > Gaming Cafe,10018,0,-0.5542786896491124
19,Arts and Entertainment > Go Kart Track,10019,0,0.0
20,Arts and Entertainment > Internet Cafe,10020,0,-0.44664116281284244
21,Arts and Entertainment > Karaoke Box,10021,0,0.0
22,Arts and Entertainment > Laser Tag Center,10022,0,0.0
23,Arts and Entertainment > Mini Golf Course,10023,1,0.43185199070372493
24,Arts and Entertainment > Movie Theater,10024,13,-0.2967770786545289
25,Arts and Entertainment > Movie Theater > Drive-in Theater,10025,0,-0.7320009968305824
26,Arts and Entertainment > Movie Theater > Indie Movie Theater,10026,1,-0.08165696161654991
27,Arts and Entertainment > Museum,10027,49,0.8349780796983751
28,Arts and Entertainment > Museum > Art Museum,10028,14,0.8749487026419809
29,Arts and Entertainment > Museum > Erotic Museum,10029,0,0.0
30,Arts and Entertainment > Museum > History Museum,10030,17,0.8179320959845843
31,Arts and Entertainment > Museum > Science Museum,10031,5,2.3296963570428693
32,Arts and Entertainment > Night Club,10032,31,-0.5671004940342811
33,Arts and Entertainment > Pachinko Parlor,10033,0,0.0
34,Arts and Entertainment > Party Center,10034,0,0.0
35,Arts and Entertainment > Performing Arts Venue,10035,69,-0.6337249290412047
36,Arts and Entertainment > Performing Arts Venue > Amphitheater,10036,1,0.6051771939484342
37,Arts and Entertainment > Performing Arts Venue > Concert Hall,10037,17,-0.18151623758112923
38,Arts and Entertainment > Performing Arts Venue > Indie Theater,10038,0,-0.577595380500724
39,Arts and Entertainment > Performing Arts Venue > Music Venue,10039,67,-0.3566833534667224
40,Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue,10040,2,-0.22038901455918153
41,Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club,10041,1,-0.5414126205470982
42,Arts and Entertainment > Performing Arts Venue > Opera House,10042,6,1.415510022426583
43,Arts and Entertainment > Performing Arts Venue > Theater,10043,48,0.7633487052462592
44,Arts and Entertainment > Planetarium,10044,1,2.8460498941515415
45,Arts and Entertainment > Pool Hall,10045,0,-0.6104786840681776
46,Arts and Entertainment > Psychic and Astrologer,10046,13,0.6201773739531548
47,Arts and Entertainment > Public Art,10047,22,2.298066523089666
48,Arts and Entertainment > Roller Rink,10048,0,-0.46697663478678997
49,Arts and Entertainment > Salsa Club,10049,0,-0.31622776601683783
50,Arts and Entertainment > Samba School,10050,0,0.0
51,Arts and Entertainment > Stadium,10051,4,-0.6510212524596591
52,Arts and Entertainment > Strip Club,10052,2,-0.20386200424286519
53,Arts and Entertainment > Ticket Seller,10053,3,-0.5409414314608179
54,Arts and Entertainment > VR Cafe,10054,0,-0.31622776601683783
55,Arts and Entertainment > Water Park,10055,1,0.5628857134715411
56,Arts and Entertainment > Zoo,10056,0,-0.3591341025913622
57,Arts and Entertainment > Disc Golf,10057,0,0.0
58,Arts and Entertainment > Amusement Park > Attraction,10058,0,0.0
59,Arts and Entertainment > Public Art > Street Art,10059,0,0.0
60,Arts and Entertainment > Stadium > Baseball Stadium,10060,0,0.0
61,Arts and Entertainment > Stadium > Basketball Stadium,10061,0,-0.31622776601683794
62,Arts and Entertainment > Stadium > Football Stadium,10062,0,0.0
63,Arts and Entertainment > Stadium > Hockey Stadium,10063,0,0.0
64,Arts and Entertainment > Stadium > Rugby Stadium,10064,0,0.0
65,Arts and Entertainment > Stadium > Soccer Stadium,10065,0,0.0
66,Arts and Entertainment > Stadium > Tennis Stadium,10066,0,0.0
67,Arts and Entertainment > Stadium > Track Stadium,10067,0,0.0
68,Arts and Entertainment > Zoo > Zoo Exhibit,10068,0,0.0
69,Arts and Entertainment > Public Art > Outdoor Sculpture,10069,0,-0.316227766016838
70,Business and Professional Services,11000,79,-0.32472791912707394
71,Business and Professional Services > Advertising Agency,11001,42,-0.895783809991923
72,Business and Professional Services > Agriculture and Forestry Service,11002,3,-0.5369989347175209
73,Business and Professional Services > Architecture Firm,11003,37,-0.8087319124892839
74,Business and Professional Services > Art Restoration Service,11004,2,0.6389726951498577
75,Business and Professional Services > Art Studio,11005,2,-0.20867259476207028
76,Business and Professional Services > Audiovisual Service,11006,10,-0.5434728226322026
77,Business and Professional Services > Auditorium,11007,1,-0.5730112666299105
78,Business and Professional Services > Automation and Control System,11008,5,0.49859408260655635
79,Business and Professional Services > Automotive Service,11009,23,-1.0531185366343192
80,Business and Professional Services > Automotive Service > Automotive Repair Shop,11010,25,-0.34132935065489134
81,Business and Professional Services > Automotive Service > Car Wash and Detail,11011,5,-0.5788137115170306
82,Business and Professional Services > Automotive Service > Motorcycle Repair Shop,11012,0,-0.7430932418809673
83,Business and Professional Services > Automotive Service > Oil Change Service,11013,0,-0.5280809517895307
84,Business and Professional Services > Automotive Service > Smog Check Shop,11014,0,0.0
85,Business and Professional Services > Automotive Service > Tire Repair Shop,11015,3,-0.6614475100178911
86,Business and Professional Services > Automotive Service > Towing Service,11016,3,-0.30394170705793394
